solarSystemId,solarSystemName
30000811,N7-BIY
30000770,88A-RA
30000737,KD-KPR
30000740,EKPB-3
30000744,O-7LAI
30000796,EUU-4N
30000801,MOCW-2
30000799,0-VG7A
30000806,VBPT-T
30000805,RD-FWY
30000802,ZO-4AR
30000828,HL-VZX
30000824,N-O53U
30000789,GK5Z-T
30000792,GDHN-K
30000795,4CJ-AC
30000754,F39H-1
30000755,V-QXXK
30000750,XQP-9C
30000817,B-II34
30000821,C1G-XC
30000786,L5-UWT
30000844,5C-RPA
30000762,5-2PQU
30003441,Earwik
30002075,Hjoramold
30002068,Nakugard
30002099,Egmar
30043410,Fildar
30003392,Eygfe
30003387,Jondik
30003428,Hilfhurmur
30003406,Situner
30003401,Egbonbet
30003404,Agtver
30003379,Aldilur
30003378,Nedegulf
30003449,Hakeri
30003425,Erstet
30002084,Aset
30002095,Eszur
30002092,Sirekur
30002059,Auner
30002058,Ardar
30003455,Atonder
30003384,Asgeir
30002080,Arifsdald
30003469,Hodrold
30003472,Erindur
30003419,Erstur
30002064,Arnstur
30002065,Lasleinur
30003465,Tabbetzur
30003459,Lirerim
30003413,Eram
30003031,Athinard
30003024,Marosier
30003012,Amattens
30003011,Mormoen
30003039,Leremblompes
30003022,Mya
30003019,Cherore
30003054,Scuelazyns
30003051,Antollare
30031392,Komo
30002737,Konola
30000021,Kuharah
30002797,Kaunokka
30004141,Hiremir
30004138,Bersyrim
30004082,Aharalel
30004148,Jennim
30004151,Ustnia
30004122,Chanoun
30004109,Oberen
30004104,Ansasos
30004157,Ithar
30004156,Asrios
30004146,Salah
30004142,Hikansog
30004100,Halibai
30004114,Peyiri
30004113,Miah
30004118,Ardhis
30004116,Rayeret
30003818,Aulbres
30003838,Oicx
30003839,Evaulon
30003841,Alsavoinon
30003844,Gallusiene
30003847,Amoen
30003849,Aubonnie
30003828,Moclinamaud
30003797,Dastryns
30003802,Cumemare
30003804,Pain
30003811,Algasienan
30003853,Mercomesier
30004304,Huna
30004307,Nouta
30004250,Chibi
30004252,Bazadod
30004243,Isid
30004254,Fihrneh
30004264,Hoseen
30004267,Nema
30004287,Esubara
30004284,Defsunun
30004293,Pserz
30004292,Soza
30003727,D-6WS1
30003733,TU-O0T
30003784,I-MGAB
30003763,N-RMSH
30003764,K1Y-5H
30003714,QBL-BV
30003712,MH9C-S
30003710,FSW-3C
30003774,2V-CS5
30003776,HP-6Z6
30003722,OXIY-V
30003719,QR-K85
30003736,GN7-XY
30003750,8P9-BM
30003707,9UY4-H
30002967,Dihra
30002963,Odin
30003006,Nidebora
30003003,Halenan
30003000,Thakala
30002975,Roushzar
30002980,Sosan
30002977,Arayar
30002990,Hakshma
30002986,Mendori
30002985,Itsyamil
30002958,Raa
30002960,Arzad
30000467,L-QQ6P
30000469,9-02G0
30000470,XA5-TY
30000501,S-51XG
30000504,BOZ1-O
30000506,Z-2Y2Y
30000448,3-LJW3
30000450,P7MI-T
30000515,SY-UWN
30000520,I-9GI1
30000513,62O-UE
30000456,GR-X26
30000455,4NDT-W
30000458,9N-0HF
30000442,5J4K-9
30000445,1KAW-T
30000438,PQRE-W
30000525,7-A6XV
30000524,E51-JE
30000493,U-MFTL
30000485,TYB-69
30000488,T-0JWP
30000477,RZ-PIY
30000461,D-0UI0
30000465,NB-ALM
30000464,GC-LTF
30000462,L8-WNE
30000480,0-G8NO
30002821,JT2I-7
30002874,R1O-GN
30002849,LE-67X
30002831,SH6X-F
30002828,BVRQ-O
30002863,HD-HOZ
30002858,C3J0-O
30002855,6FS-CZ
30002856,HPV-RJ
30002845,EPCD-D
30002841,TA9T-P
30002843,BM-VYZ
30002885,86L-9F
30002887,J-OAH2
30002872,K76A-3
30004682,3PPT-9
30004669,ARBX-9
30004671,O-MCZR
30004678,H8-ZTO
30004703,O-N589
30004700,LD-2VL
30004694,GQ2S-8
30003693,0-ARFO
30003688,X36Y-G
30003686,O1Y-ED
30001949,2B-3M4
30001955,O-CT8N
30001953,LGL-SD
30001848,G-ME2K
30001846,Y1-UQ2
30001860,2IGP-1
30001833,LGK-VP
30001920,J-AYLV
30001878,WEQT-K
30001910,B-G1LG
30001908,TL-T9Z
30001905,X5O1-L
30001928,L6B-0N
30001926,CJF-1P
30001930,6QBH-S
30001958,XFBE-T
30001894,42-UOW
30001937,JU-UYK
30001947,373Z-7
30001940,4XW2-D
30001868,37S-KO
30001870,A-GPTM
30001852,FV-SE8
30001839,WHG2-7
30001899,UKYS-5
30001292,HBD-CC
30001295,0-XIDJ
30001306,9IPC-E
30001300,4RX-EE
30001332,M2-2V1
30001262,Y6-HPG
30001267,N-Q5PW
30001319,2PLH-3
30001313,EK2-ET
30001274,K3JR-J
30001277,N5Y-4N
30001341,OJ-CT4
30001273,9-266Q
30001289,AJCJ-1
30001284,92K-H2
30001563,RXA-W1
30001575,H4X-0I
30001597,M-NP5O
30001529,B9EA-G
30001530,E-BFLT
30001528,HIK-MC
30001535,ETO-OT
30001536,KPI-OW
30001533,C6C-K9
30001586,OTJ9-E
30001543,K-XJJT
30001572,K-YL9T
30001573,GTB-O4
30001568,P65-TA
30004730,D-W7F0
30004719,YZ9-F6
30004777,ZXB-VC
30004715,HM-XR2
30004707,Z3V-1W
30004794,KBAK-I
30004795,M-SRKS
30004726,IP6V-X
30004781,8F-TK3
30004784,F-9PXR
30004752,QY6-RK
30000590,3Q-VZA
30000592,HPBE-D
30000563,R0-DMM
30000569,HD-AJ7
30000576,4-EFLU
30000577,EIH-IU
30000608,JEQG-7
30000609,5NQI-E
30000598,GPD5-0
30000594,J-RXYN
30000545,G9L-LP
30000542,8-OZU1
30000555,U104-3
30000538,J7-BDX
30000548,JQU-KY
30002553,Bogelek
30002511,Ameinaka
30002507,Abudban
30002521,Sist
30002522,Obrolber
30002514,Bosboger
30002534,Rokofur
30002578,Otraren
30002543,Eystur
30022547,Krilmokenur
30032547,Larkugei
30002526,Frarn
30003658,ZK-YQ3
30003655,A1RR-M
30003669,Q1U-IU
30003628,S-1LIO
30003625,KMV-CQ
30003671,7D-PAT
30003673,T-K10W
30003648,6OYQ-Z
30003630,5-O8B1
30003639,SZ6-TA
30003638,WV-0R2
30003613,PNS7-J
30003612,EOY-BG
30003609,3DR-CR
30001807,ZZK-VF
30001749,QHH-13
30001753,XUPK-Z
30001756,WIO-OL
30001758,YQM-P1
30001760,TFPT-U
30001770,2ULC-J
30001768,8-AA98
30001799,2WU-XT
30001800,J7X-VN
30001804,LTT-AP
30001783,QOK-SX
30001825,CNHV-M
30001828,4O-ZRI
30001827,N-I024
30001818,MC4C-H
30001815,4AZV-W
30001766,QFRV-2
30001790,KGCF-5
30001779,0-4VQL
30002682,Colelie
30002677,Fluekele
30002680,Augnais
30002638,Sharuveil
30002634,Balle
30002707,Unel
30002710,Adiere
30002706,Doussivitte
30002657,Aunia
30002660,Eglennaert
30002696,Stegette
30002691,Crielere
30002690,Bamiette
30002674,Gallareue
30002670,Dunraelare
30002666,Basgerin
30002664,Alles
30002733,Pucherie
30002722,Lamadent
30002728,Lermireve
30002642,Iyen-Oursta
30002704,Adrallezoen
30002705,Croleur
30000074,Hasateem
30000035,Nimambal
30000037,Uplingur
30000051,Juddi
30000054,Shala
30000110,Bekirdod
30000042,Moh
30000039,Bayuka
30000061,Agha
30000059,Salashayama
30000065,Akhrad
30000005,Sasta
30000007,Yuzier
30000097,Shach
30000103,Serad
30000105,Abha
30000094,Hahyil
30000011,Shenela
30000012,Asabona
30000015,Sendaya
30000014,Shamahi
30000084,Asghatil
30000026,Ordize
30000023,Fovihi
30000044,Faspera
30000048,Ihal
30001661,Gyerzen
30001656,Ivih
30001658,Mani
30001648,Adahum
30001649,Ahrosseas
30001674,Hilaban
30001721,Saminer
30001718,Paye
30001666,Pera
30001664,Chamume
30001694,Abai
30001697,Ahkour
30001680,Hoona
30001724,Rumida
30031672,Safilbab
30011672,Kerepa
30001652,Pimsu
30001707,Phoren
30001700,Remoriu
30001733,Tew
30001710,Yeder
30001712,Lari
30001681,Teshkat
30001740,Arakor
30003115,D-FVI7
30003126,F-UVBV
30003169,C-PEWN
30003163,P9F-ZG
30003178,YRV-MZ
30003176,IPX-H5
30003151,R-ARKN
30003152,SN9S-N
30003107,JAUD-V
30003123,CR-0E5
30003161,G-4H4C
30003159,PE-H02
30003162,HHE5-L
30003141,NIZJ-0
30003146,Q1-R7K
30003133,G-YZUX
30003139,6EK-BV
30003101,G2-INZ
30005330,Arraron
30005334,Tierijev
30005319,Raneilles
30005322,Scolluzer
30005324,Claulenne
30005302,Alenia
30015305,Adallier
30005303,Merolles
30025305,Channace
30000896,NJ4X-S
30000871,WH-JCA
30000868,SH1-6P
30000893,W-UQA5
30000889,XD-TOV
30000892,C8VC-S
30000886,S8-NSQ
30000849,V0DF-2
30000856,F-749O
30000863,C2X-M5
30002357,3IK-7O
30002346,89-JPE
30002344,4-QDIX
30002296,KGT3-6
30002297,4LJ6-Q
30002365,1PF-BC
30002354,8KE-YS
30002311,KMH-J1
30002371,WPV-JN
30002373,CT8K-0
30002381,F69O-M
30002322,RO-0PZ
30002333,IRD-HU
30002287,9P-870
30004466,3-BADZ
30004425,Z-PNIA
30004431,PO-3QW
30004448,QK-CDG
30004447,2UK4-N
30004413,OXC-UL
30004416,X6-J6R
30004482,I9-ZQZ
30004489,ZID-LE
30004418,DUU1-K
30004421,K-X5AX
30004436,U-BXU9
30004442,6O-XIO
30004404,UD-VZW
30004463,UB5Z-3
30004454,2-F3OE
30004458,CL-J9W
30004471,P8-BKO
30005021,Adrel
30005016,Wysalan
30004988,Hulmate
30005012,Haine
30005014,Isenan
30004997,Vifrevaert
30004994,Arant
30005028,Andole
30004975,Mesybier
30004976,Charmerout
30004979,Heydieles
30004972,Algogille
30005001,Arnon
30001358,Ossa
30001431,Aivoli
30001433,Oishami
30001408,Ruvas
30001397,Isseras
30001394,Korama
30001417,Rauntaka
30001427,Yoma
30001414,Ajanen
30001410,Kirras
30001441,Tartoken
30001443,Vuorrassi
30001448,Hakonen
30001379,Tunttaras
30001378,Ekura
30001369,Sotrentaira
30002485,HKYW-T
30002481,D-I9HJ
30002496,B-F1MI
30002495,4K0N-J
30002429,WH-2EZ
30002431,QKTR-L
30002441,4-CUM5
30002440,BWF-ZZ
30002458,LX-ZOJ
30002459,6L78-1
30002423,FDZ4-A
30002422,SR-KBB
30002499,O2O-2X
30002502,TDE4-H
30002444,39-DGG
30002447,K42-IE
30002470,L-TOFR
30002474,TJM-JJ
30001177,GE-94X
30001181,EX-0LQ
30001153,F9E-KX
30001217,E3-SDZ
30001215,B-XJX4
30001218,7LHB-Z
30001188,I-8D0G
30001190,JWZ2-V
30001191,OGL8-Q
30001236,IS-R7P
30001171,F4R2-Q
30001174,L7XS-5
30001260,4-07MU
30001258,25S-6P
30001226,ZQ-Z3Y
30001227,G-AOTH
30001166,9-8GBA
30001225,JA-O6J
30001220,SNFV-I
30001203,AX-DOT
30001200,3GD6-8
30000204,Ohkunen
30000207,Osaa
30000125,Ahtulaima
30000122,Mahtista
30000172,Otomainen
30000135,Outuni
30000151,Uoyonen
30000148,Jakanerva
30000155,Obanen
30000177,Ukkalen
30000183,Nuken
30000200,Akkio
30000131,Nomaa
30000130,Shihuken
30000163,Akora
30003065,Otelen
30003079,Saikamon
30003077,Uusanen
30003071,Anka
30003089,Kurniainen
30003092,Komaa
30003085,Hakodan
30005191,0-U2M4
30005189,MTO2-2
30005123,H-29TM
30005135,JZ-UQC
30005136,JPEZ-R
30005129,BEG-RL
30005133,MJ-5F9
30005173,VWES-Y
30005168,9-ZA4Z
30005171,O-QKSM
30005095,XU7-CH
30005119,RY-2FX
30005118,PE-SAM
30005109,OP7-BP
30005106,LW-YEW
30005100,E-WMT7
30005167,A1F-22
30005158,J9A-BH
30005149,4-1ECP
30005153,M4-KX5
30005143,TAL1-3
30005178,PFV-ZH
30005174,SY-OLX
30004161,FV-YEA
30004197,FV1-RQ
30004190,87-1PM
30004193,5ED-4E
30004181,E-BYOS
30004168,5E-EZC
30004173,X-41DA
30004171,Y-RAW3
30004210,CHP-76
30004228,HB-5L3
30004226,1GT-MA
30004203,L-Z9NB
30004207,DK0-N8
30004185,5HN-D6
30004186,E-B957
30000321,MGAM-4
30000325,JZV-F4
30000288,1W-0KS
30000280,MQ-O27
30000286,1VK-6B
30000294,1N-FJ8
30000235,Q-R3GP
30000275,XSQ-TF
30000258,6WW-28
30000260,S-NJBB
30000224,7-K5EL
30000300,LS9B-9
30000295,VI2K-J
30000299,5T-KM3
30000219,FS-RFL
30000268,H-NOU5
30000266,Z-8Q65
30000262,0MV-4W
30000304,ZA0L-U
30000309,O-LR1H
30000311,BR-6XP
30000250,P3EN-E
30025042,Annad
30005049,Andrub
30005057,Shaha
30005071,Tralasa
30005041,Masanuh
30005037,Mora
30005043,Nakregde
30005035,Ami
30005032,Khabara
30005080,Rannoze
30000999,N-RAEL
30000916,YUY-LM
30000917,NE-3GR
30000976,4M-P1I
30000956,IX8-JB
30000959,F5-CGW
30000910,8DL-CP
30000979,HB-1NJ
30000984,V89M-R
30000943,7Q-8Z2
30000921,UT-UZB
30000918,Y4-GQV
30000926,TET3-B
30000938,QQ3-YI
30000941,QM-20X
30000970,B-VIP9
30000965,UNJ-GX
30000935,ZM-DNR
30000950,R-ESG0
30000954,DE71-9
30003219,IO-R2S
30003203,IG-4OF
30003187,DGDT-3
30003185,MZLW-9
30003231,3-JG3X
30003207,Y-770C
30003208,X-Z4JW
30003260,RJBC-I
30003259,X-CYNC
30003239,KED-2O
30003240,U-RELP
30003243,HO4E-Q
30003264,JXQJ-B
30003263,XKM-DE
30003210,6U-MFQ
30003227,U9SE-N
30045321,Uchomida
30045324,Onnamon
30045306,Hykanima
30045340,Aivonen
30045343,Immuri
30045339,Enaluri
30045349,Rakapas
30045352,Nisuwa
30045335,Teskanen
30045337,Ikoskio
30045316,Innia
30045315,Raihbaka
30002399,Orien
30002396,Illamur
30002400,Varigne
30002418,Hegfunden
30002409,Osvetur
30002391,Hrokkur
30002384,Gulfonodi
30002407,Altbrard
30002405,Sakulda
30002406,Hedaleolfarber
30000664,X9V-15
30000659,K7-LDX
30000685,H5N-V7
30000683,LBC-AW
30000684,2-KPW6
30000682,Q-K2T7
30000698,WV0D-1
30000701,4E-EZS
30000728,6-KPAB
30000725,WFFE-4
30000709,IAK-JW
30000675,FYD-TO
30000717,Q-NA5H
30000720,1QZ-Y9
30000695,F2-NXA
30000696,NSBE-L
30000703,U2-28D
30000704,LQ-OAI
30000708,JLO-Z3
30000732,V-F6DQ
30000671,GN-PDU
30000668,9PX2-F
30001013,J7A-UR
30001015,V7D-JD
30001006,K-MGJ7
30001002,G-G78S
30001029,ES-UWY
30001039,Y-K50G
30002258,Nadohman
30002260,Esteban
30002234,Nifshed
30002231,Ardishapur Prime
30003496,Nakri
30003497,Zaimeth
30002203,Ziona
30002201,Shuria
30002207,Cailanar
30002270,Avair
30002264,Hadonoo
30002243,Seiradih
30002248,Knophtikoo
30003562,Ziriert
30002277,Ebtesham
30003544,Galeh
30003541,Faswiba
30003535,Afivad
30003537,Erzoh
30003483,Valmu
30003500,Sharji
30003511,Somouh
30003526,Murzi
30003514,Yeeramoun
30002217,Hutian
30002219,Nomash
30002210,Joppaya
30003554,Jambu
30003552,Ana
30003545,Yuhelia
30002241,Rimbah
30002237,Sobenah
30002196,Ebidan
30002188,Boranai
30003487,Arbaz
30003491,Ashab
30002221,Fabin
30001997,U-INPD
30001963,KQK1-2
30001975,12YA-2
30001971,JC-YX8
30002005,5ZXX-K
30002047,UI-8ZE
30002015,4-ABS8
30002024,UC3H-Y
30002017,S-MDYI
30002022,RZC-16
30002002,R-2R0G
30001998,WW-KGD
30002033,RORZ-H
30005269,Simela
30005213,Hesarid
30005209,Sibe
30005219,Sigga
30005289,Nasreri
30005235,Malma
30005231,Pashanai
30005203,Ourapheh
30005286,New Eden
30005283,Central Point
30005250,Habu
30005266,Access
30005245,Tahli
30005243,Madomi
30005195,Vecamia
30005226,Dom-Aphis
30005228,Chamja
30005223,Hadji
30004493,C0T-77
30004544,A-5M31
30004549,0D-CHA
30004509,0-WVQS
30004507,F5FO-U
30004515,JKJ-VJ
30004530,CT7-5V
30004529,T-Z6J2
30003875,Hishai
30003877,Gidali
30003880,Reteka
30003938,Fanathor
30003936,Nakis
30003865,Sazre
30003931,Sassecho
30003898,Seshala
30003886,Ashmarir
30003922,Nahrneder
30003921,Arzieh
30003891,Tzashrah
30003889,Talidal
30003893,Moro
30003906,Firbha
30003909,Parses
30003915,Aurejet
30003924,Dimoohan
30003927,Zahefeus
30003926,Kuhri
30003958,TV8-HS
30003991,Z-UZZN
30003994,RF-CN3
30003999,KEJY-U
30003974,8B-SAJ
30004020,ED-L9T
30004028,E-VKJV
30003967,A-BO4V
30003962,MKD-O8
30004036,3D5K-R
30003983,W6V-VM
30003981,UYU-VV
30003984,OGY-6D
30003988,UVHO-F
30003944,A3-LOG
30003946,O3L-95
30003585,Aeter
30003582,Odinesyn
30003583,Weraroix
30003576,Maire
30003573,Pertnineere
30003593,Stoure
30003591,Yvelet
30003606,Toustain
30003571,Anckee
30003598,Ogaria
30004895,KR8-27
30004889,C-WPWH
30004884,9MWZ-B
30004925,7-8EOE
30004921,Z-7OK1
30004924,OKEO-X
30004910,L-AS00
30004907,X-EHHD
30004903,DJK-67
30004901,M9-FIB
30004914,99-0GS
30004916,H90-C9
